BrandValue;Value;ModelName
17200;126;190
17200;127;200
17200;128;220
17200;129;230
17200;130;240
17200;131;250
17200;132;260
17200;133;270
17200;134;280
17200;135;290
17200;136;300
17200;137;320
17200;138;350
17200;139;380
17200;140;400
17200;141;416
17200;142;420
17200;143;450
17200;144;500
17200;145;560
17200;146;600
17200;-4;Clasa A
17200;2;A 140
17200;3;A 150
17200;4;A 160
17200;5;A 170
17200;6;A 180
17200;7;A 190
17200;8;A 200
17200;9;A 210
17200;221;A 220
17200;220;A 250
17200;298;A 35 AMG
17200;229;A 45 AMG
17200;-64;Clasa GT
17200;242;AMG GT
17200;282;AMG GT C
17200;281;AMG GT R
17200;247;AMG GT S
17200;-5;Clasa B
17200;12;B 150
17200;11;B 160
17200;13;B 170
17200;14;B 180
17200;15;B 200
17200;222;B 220
17200;223;B 250
17200;241;B Electric Drive
17200;-6;Clasa C
17200;16;C 160
17200;17;C 180
17200;18;C 200
17200;19;C 220
17200;20;C 230
17200;21;C 240
17200;22;C 250
17200;23;C 270
17200;24;C 280
17200;44;C 300
17200;25;C 30 AMG
17200;27;C 320
17200;26;C 32 AMG
17200;28;C 350
17200;29;C 36 AMG
17200;245;C 400
17200;30;C 43 AMG
17200;246;C 450 AMG
17200;31;C 55 AMG
17200;198;C 63 AMG
17200;-7;Clasa CE
17200;32;CE 200
17200;167;CE 220
17200;216;CE 230
17200;217;CE 280
17200;33;CE 300
17200;234;CE 320
17200;224;Citan
17200;-8;Clasa CL
17200;210;CL 160
17200;35;CL 180
17200;36;CL 200
17200;37;CL 220
17200;38;CL 230
17200;211;CL 320
17200;39;CL 420
17200;40;CL 500
17200;41;CL 55 AMG
17200;42;CL 600
17200;197;CL 63 AMG
17200;43;CL 65 AMG
17200;-45;Clasa CLA
17200;225;CLA 180
17200;255;CLA 180 Shooting Brake
17200;226;CLA 200
17200;256;CLA 200 Shooting Brake
17200;227;CLA 220
17200;257;CLA 220 Shooting Brake
17200;228;CLA 250
17200;258;CLA 250 Shooting Brake
17200;326;CLA 35 AMG
17200;353;CLA 35 AMG Shooting Brake
17200;230;CLA 45 AMG
17200;259;CLA 45 AMG Shooting Brake
17200;248;CLA Shooting Brake
17200;355;Clasa T
17200;-30;Clasa CLC
17200;46;CLC 160
17200;200;CLC 180
17200;201;CLC 200
17200;202;CLC 220
17200;203;CLC 230
17200;107;CLC 250
17200;204;CLC 350
17200;-9;Clasa CLK
17200;168;CLK 200
17200;169;CLK 220
17200;186;CLK 230
17200;187;CLK 240
17200;188;CLK 270
17200;170;CLK 280
17200;171;CLK 320
17200;172;CLK 350
17200;173;CLK 430
17200;174;CLK 500
